packet_number,length,bssid,ta,ra,fc_type_subtype,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
67,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-87,,,4880691594,1742833694.161228,2025-03-24 18:28:14.161228
68,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-29,,,2400717210019,1742833694.235864,2025-03-24 18:28:14.235864
69,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-87,,,4880794116,1742833694.263436,2025-03-24 18:28:14.263436
70,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-29,,,2400717312407,1742833694.338329,2025-03-24 18:28:14.338329
71,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-86,,,4880896398,1742833694.365734,2025-03-24 18:28:14.365734
72,132,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0020,1,1,2412,4,False,False,-86,,,,1742833694.366529,2025-03-24 18:28:14.366529
73,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-29,,,2400717414803,1742833694.44068,2025-03-24 18:28:14.440680
74,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-86,,,4880998796,1742833694.468377,2025-03-24 18:28:14.468377
75,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-29,,,2400717517203,1742833694.543321,2025-03-24 18:28:14.543321
76,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-86,,,4881101904,1742833694.571412,2025-03-24 18:28:14.571412
77,108,ff:ff:ff:ff:ff:ff,a8:80:55:1a:57:47,ff:ff:ff:ff:ff:ff,0x0004,1,1,2412,4,False,False,-81,,,,1742833694.582609,2025-03-24 18:28:14.582609
78,108,ff:ff:ff:ff:ff:ff,a8:80:55:1a:57:47,ff:ff:ff:ff:ff:ff,0x0004,1,1,2412,4,False,False,-81,,,,1742833694.583166,2025-03-24 18:28:14.583166
79,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-29,,,2400717619622,1742833694.645713,2025-03-24 18:28:14.645713
80,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-86,,,4881203598,1742833694.673164,2025-03-24 18:28:14.673164
81,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-29,,,2400717722005,1742833694.747833,2025-03-24 18:28:14.747833
82,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-87,,,4881305994,1742833694.775246,2025-03-24 18:28:14.775246
83,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-29,,,2400717824420,1742833694.850625,2025-03-24 18:28:14.850625
84,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-28,,,2400717926818,1742833694.952672,2025-03-24 18:28:14.952672
85,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-86,,,4881512249,1742833694.981581,2025-03-24 18:28:14.981581
86,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-29,,,2400718029226,1742833695.055348,2025-03-24 18:28:15.055348
87,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-87,,,4881613368,1742833695.082847,2025-03-24 18:28:15.082847
88,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-29,,,2400718132403,1742833695.15844,2025-03-24 18:28:15.158440
89,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-85,,,4881716317,1742833695.185636,2025-03-24 18:28:15.185636
90,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-29,,,2400718234001,1742833695.259866,2025-03-24 18:28:15.259866
91,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-86,,,4881819118,1742833695.28837,2025-03-24 18:28:15.288370
92,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,1,1,2412,4,False,False,-29,,,2400718338355,1742833695.364467,2025-03-24 18:28:15.364467
