packet_number,length,bssid,ta,ra,fc_type_subtype,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
61,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-85,,,,1742833365.4246929,2025-03-24 18:22:45.424693
62,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-82,,,,1742833365.430593,2025-03-24 18:22:45.430593
63,454,08:aa:89:74:ed:c5,08:aa:89:74:ed:c5,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-91,,,1326763008083,1742833365.4367478,2025-03-24 18:22:45.436748
64,493,d4:76:a0:d4:8c:18,d4:76:a0:d4:8c:18,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-67,,,2263143833654,1742833365.4499316,2025-03-24 18:22:45.449932
65,116,d4:76:a0:d4:8c:18,d4:76:a0:d4:8c:18,ff:ff:ff:ff:ff:ff,0x0020,6,64,5320,5,False,False,-67,,,,1742833365.450081,2025-03-24 18:22:45.450081
66,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-83,,,,1742833365.4698966,2025-03-24 18:22:45.469897
67,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-82,,,,1742833365.4737246,2025-03-24 18:22:45.473725
68,460,d8:21:da:26:2a:75,d8:21:da:26:2a:75,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-87,,,959797351093,1742833365.502863,2025-03-24 18:22:45.502863
69,66,,,08:aa:89:77:22:d1,0x001c,12,64,5320,5,False,False,-96,,,,1742833365.5221329,2025-03-24 18:22:45.522133
70,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-85,,,,1742833365.5243332,2025-03-24 18:22:45.524333
71,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-85,,,,1742833365.5326107,2025-03-24 18:22:45.532611
72,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-83,,,,1742833365.5326319,2025-03-24 18:22:45.532632
73,72,,82:68:c0:9c:e9:6b,fc:40:09:a0:49:6d,0x001b,24,64,5320,5,False,False,-84,,,,1742833365.5375526,2025-03-24 18:22:45.537553
74,454,08:aa:89:74:ed:c5,08:aa:89:74:ed:c5,ff:ff:ff:ff:ff:ff,0x0008,6,64,5320,5,False,False,-92,,,1326763110484,1742833365.5393214,2025-03-24 18:22:45.539321
75,553,d8:21:da:26:2a:75,d8:21:da:26:2a:75,d4:76:a0:d4:90:40,0x0005,6,64,5320,5,False,False,-89,,,959797389657,1742833365.541475,2025-03-24 18:22:45.541475
