packet_number,length,bssid,ta,ra,fc_type_subtype,fc_type,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
55,135,ff:ff:ff:ff:ff:ff,00:20:a6:fc:b0:36,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,0,,,,1594650017.105336,2020-07-13 17:20:17.105336
56,135,ff:ff:ff:ff:ff:ff,00:20:a6:fc:b0:36,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,0,,,,1594650017.106461,2020-07-13 17:20:17.106461
57,135,ff:ff:ff:ff:ff:ff,00:20:a6:fc:b0:36,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,0,,,,1594650017.181348,2020-07-13 17:20:17.181348
58,135,ff:ff:ff:ff:ff:ff,00:20:a6:fc:b0:36,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,0,,,,1594650017.183844,2020-07-13 17:20:17.183844
59,135,ff:ff:ff:ff:ff:ff,00:20:a6:fc:b0:36,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,0,,,,1594650017.184838,2020-07-13 17:20:17.184838
60,135,ff:ff:ff:ff:ff:ff,00:20:a6:fc:b0:36,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,0,,,,1594650017.185838,2020-07-13 17:20:17.185838
61,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-34,,,435609706,1594650017.192844,2020-07-13 17:20:17.192844
62,135,ff:ff:ff:ff:ff:ff,00:20:a6:fc:b0:36,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,0,,,,1594650017.261722,2020-07-13 17:20:17.261722
63,135,ff:ff:ff:ff:ff:ff,00:20:a6:fc:b0:36,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,0,,,,1594650017.263841,2020-07-13 17:20:17.263841
64,317,2c:f8:9b:dd:06:a0,2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,0x0008,0,9,1,2412,6,False,False,-32,,,435712373,1594650017.295474,2020-07-13 17:20:17.295474
